District,Year,Water_Availability_LPCD,Women_Literacy_Rate,Women_Employment_Rate,Time_Spent_Collecting_Water_Hours,Annual_Rainfall_mm
Jaisalmer,2015,95.2,54.8,41.3,5.5,240
Jaisalmer,2016,92.7,54.5,40.8,5.7,235
Jaisalmer,2017,90.1,54.2,40.2,6.0,230
Jaisalmer,2018,87.4,53.8,39.7,6.3,225
Jaisalmer,2019,84.6,53.4,39.1,6.5,220
Jaisalmer,2020,81.7,53.0,38.5,6.8,215
Jaisalmer,2021,78.7,52.5,37.8,7.1,210
Jaisalmer,2022,75.6,52.0,37.1,7.4,205
Jaisalmer,2023,72.4,51.4,36.3,7.8,200
Jaisalmer,2024,69.1,50.8,35.5,8.1,195
Barmer,2015,98.7,57.2,43.7,5.1,310
Barmer,2016,96.3,56.9,43.2,5.3,305
Barmer,2017,93.8,56.5,42.6,5.6,300
Barmer,2018,91.2,56.1,42.0,5.9,295
Barmer,2019,88.5,55.6,41.4,6.2,290
Barmer,2020,85.7,55.1,40.7,6.4,285
Barmer,2021,82.8,54.5,40.0,6.7,280
Barmer,2022,79.8,53.9,39.2,7.0,275
Barmer,2023,76.7,53.2,38.4,7.3,270
Barmer,2024,73.5,52.5,37.5,7.7,265
Bikaner,2015,102.3,59.7,45.8,4.8,350
Bikaner,2016,100.1,59.4,45.3,5.0,345
Bikaner,2017,97.8,59.0,44.7,5.2,340
Bikaner,2018,95.4,58.6,44.1,5.5,335
Bikaner,2019,92.9,58.1,43.4,5.7,330
Bikaner,2020,90.3,57.6,42.7,6.0,325
Bikaner,2021,87.6,57.0,41.9,6.2,320
Bikaner,2022,84.8,56.4,41.1,6.5,315
Bikaner,2023,81.9,55.7,40.2,6.8,310
Bikaner,2024,78.9,55.0,39.3,7.1,305
Jodhpur,2015,105.8,62.3,47.9,4.4,390
Jodhpur,2016,103.7,62.0,47.4,4.6,385
Jodhpur,2017,101.5,61.6,46.8,4.8,380
Jodhpur,2018,99.2,61.2,46.2,5.1,375
Jodhpur,2019,96.8,60.7,45.5,5.3,370
Jodhpur,2020,94.3,60.2,44.8,5.6,365
